Study ID,Title,Form,Reviewer,Status,Intervention,Linked suggestion,Group name,Identification: Sponsorship source,Identification: Country,Identification: Author's name,Identification: Institution,Identification: Journal Name,Identification: Paper Title,Identification: Year of Publication,Identification: Notes,Methods: Please copy in one or more separated by a semi-colon: Lab (experimental); Lab (pilot); Economic Assessment; Environmental Assessment; Simulation or Modeling; Characterization,Methods: Notes,Population: Group differences,Population: Total sample size,Population: Notes,Population Baseline Characteristics: Mean age (years) ± SD,Population Baseline Characteristics: Mean age (years) ± SD (Overall),Intervention Characteristics: Raw Feedstock Concentration,Intervention Characteristics: units1,Intervention Characteristics: Leached REE Concentration,Intervention Characteristics: units2,Interventions: Notes,Reported outcomes in study,Outcomes: Notes,Result data: Notes,Outcome details: Example continuous outcome - Reported name,Outcome details: Example continuous outcome - Outcome type,Outcome details: Example continuous outcome - Reported against,Outcome details: Example continuous outcome - Reported as,Outcome details: Example continuous outcome - Reference arm,Outcome details: Example continuous outcome - Outcome group,Outcome details: Example continuous outcome - Reporting,Outcome details: Example continuous outcome - Range,Outcome details: Example continuous outcome - Unit of measure,Outcome details: Example continuous outcome - Timepoints,Outcome details: Example continuous outcome (End of study) Reported time,Outcome details: Example continuous outcome - Notes,Result data: Example continuous outcome (End of study) SD,Result data: Example continuous outcome (End of study) median,Result data: Example continuous outcome (End of study) SMD,Outcome details: Example dichotomous outcome - Reported name,Outcome details: Example dichotomous outcome - Outcome type,Outcome details: Example dichotomous outcome - Reported against,Outcome details: Example dichotomous outcome - Reported as,Outcome details: Example dichotomous outcome - Reference arm,Outcome details: Example dichotomous outcome - Outcome group,Outcome details: Example dichotomous outcome - Reporting,Outcome details: Example dichotomous outcome - Range,Outcome details: Example dichotomous outcome - Unit of measure,Outcome details: Example dichotomous outcome - Timepoints,Outcome details: Example dichotomous outcome (End of study) Reported time,Outcome details: Example dichotomous outcome - Notes,Result data: Example dichotomous outcome (End of study) Events,Result data: Example dichotomous outcome (End of study) Total,Outcome details: REE Results (idk) - Reported name,Outcome details: REE Results (idk) - Outcome type,Outcome details: REE Results (idk) - Reported against,Outcome details: REE Results (idk) - Reported as,Outcome details: REE Results (idk) - Reference arm,Outcome details: REE Results (idk) - Outcome group,Outcome details: REE Results (idk) - Reporting,Outcome details: REE Results (idk) - Range,Outcome details: REE Results (idk) - Unit of measure,Outcome details: REE Results (idk) - Timepoints,Outcome details: REE Results (idk) (Hydrometal) Reported time,Outcome details: REE Results (idk) (Pyrometal) Reported time,Outcome details: REE Results (idk) - Notes,Result data: REE Results (idk) (Hydrometal) Themes,Result data: REE Results (idk) (Hydrometal) Quote,Result data: REE Results (idk) (Hydrometal) Specific Feedstock,Result data: REE Results (idk) (Pyrometal) Themes,Result data: REE Results (idk) (Pyrometal) Quote,Result data: REE Results (idk) (Pyrometal) Specific Feedstock,Outcome details: Circular Economy - Reported name,Outcome details: Circular Economy - Outcome type,Outcome details: Circular Economy - Reported against,Outcome details: Circular Economy - Reported as,Outcome details: Circular Economy - Reference arm,Outcome details: Circular Economy - Outcome group,Outcome details: Circular Economy - Reporting,Outcome details: Circular Economy - Range,Outcome details: Circular Economy - Unit of measure,Outcome details: Circular Economy - Timepoints,Outcome details: Circular Economy (End of study) Reported time,Outcome details: Circular Economy - Notes,Result data: Circular Economy (End of study) Total,Result data: Circular Economy (End of study) Reuse
Echeverry-Vargas 2022,Recovery of Rare Earth Elements from Mining Tailings: A Case Study for Generating Wealth from Waste,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Semenov 2016,Preparation of Nd2O3 through the extraction separation of rare-earth concentrate recovered from phosphogypsum,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Shin 2015,Study on the separation and extraction of rare-earth elements from the phosphor recovered from end of life fluorescent lamps,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Dardona 2023,From ash to oxides: Recovery of rare-earth elements as a step towards valorization of coal fly ash waste,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Alcaraz 2025,Recovery of Rare Earths from End-of-Life NdFeB Permanent Magnets from Wind Turbines,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lohmeier 2023,"Okorusu tailings – Part II: REE mineralisation, and oxygen and carbon isotope variations",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liu 2024,Extraction of rare earth Eu from waste blue phosphor strengthened by microwave alkali roasting,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Kruse 2017,Influencing Factors on the Melting Characteristics of NdFeB-Based Production Wastes for the Recovery of Rare Earth Compounds,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Prodius 2020,Sustainable Urban Mining of Critical Elements from Magnet and Electronic Wastes,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Prihutami 2022,A Product Diffusion Model for the Extraction of Cerium and Yttrium from Magnetic Coal Fly Ash Using Citric Acid Solution,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Du 2022,Extraction of rare earth and cobalt from leach residue of Nd-Fe-B waste by reductive leaching with iron powder,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
KhayyamNekouei 2024,Chemical isolation of rare earth elements (as pure rare earth oxides) from Nd-Fe-B magnets and Ni-MH batteries,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Ujaczki 2017,Red mud as secondary source for critical raw materials – purification of rare earth elements by liquid/liquid extraction,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Biswas 2024,Extraction of Rare Earth Metals from NiMH Battery Scrap via Selective Sulfation Roasting,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Fironda 2025,Recovery of Neodymium from Spent Hard Disk Drivers by Microwave Treatment and Magnesium Liquid Extraction,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liang 2016,Leaching of rare earth elements from waste lamp phosphor mixtures by reduced alkali fusion followed by acid leaching,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Klemettinen 2023,Recovery of Rare Earth Elements from the Leaching Solutions of Spent NdFeB Permanent Magnets by Selective Precipitation of Rare Earth Oxalates,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Guyonnet 2015,Material flow analysis applied to rare earth elements in Europe,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Su 2020,A cost-effective process for recovering thorium and rare earths from radioactive residues,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wang 2021,Selective extraction of rare earths and lithium from rare earth fluoride molten-salt electrolytic slag by sulfation,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Mansouri 2021,Waste of batteries management: Synthesis of magnetocaloric manganite compound from the REEs mixture generated during hydrometallurgical processing of NiMH batteries,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhu 2025,Recycling and Reuse of Rare Earth Polishing Powder Waste by a Simple Gravity Settling-Acid Leaching Process,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lin 2024,Efficient processing rare earth polishing powder solid waste by thiourea-H2SO4 system: Process optimization and thiourea decomposition effect,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Gao 2022,Uncovering terbium metabolism in China: A dynamic material flow analysis,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Bian 2015,Extraction of Rare Earth Elements from Permanent Magnet Scraps by FeO–B2O3 Flux Treatment,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Hua 2015,Extraction of rare earth elements from NdFeB scrap by AlF3-NaF melts,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Daul 2017,Magnet associated rare earths in steel mill slags,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Hasegawa 2018,Chelator-induced recovery of rare earths from end-of-life fluorescent lamps with the aid of mechano-chemical energy,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Hu 2021,The potential utilizing of critical element from coal and combustion residues,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Schulze 2016,Estimates of global REE recycling potentials from NdFeB magnet material,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Habibzadeh 2025,Effect of mechanical pre-treatment on the recovery potential of rare-earth elements and gold from discarded hard disc drives,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Pavón 2018,Rare earths separation from fluorescent lamp wastes using ionic liquids as extractant agents,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Chen 2022,Recovery and Separation of Dysprosium from Waste Neodymium Magnets through Cyphos IL 104 Extraction,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
DiPiazza 2017,Penicillium expansum Link strain for a biometallurgical method to recover REEs from WEEE,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Jin 2017,Techno-economic Assessment for Integrating Biosorption into Rare Earth Recovery Process,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Islam 2022,Process Scale-Up of an Energy-Efficient Membrane Solvent Extraction Process for Rare Earth Recycling from Electronic Wastes,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Yang 2024,Microbial consortia-driven bioweathering provides new potential for sustainable recovery of rare earth elements (REE) in fly ash: From metagenome exploration to performance verification,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhi 2022,Separation and recovery of rare earth from waste nickel-metal hydride batteries by phosphate based extraction-precipitation,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Yang 2024,Selective leaching and recovery of neodymium from NdFeB carbonyl residues,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Millán-Becerro 2021,Combined procedure of metal removal and recovery of technology elements from fertilizer industry effluents,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Perämäki 2022,Dry chlorination of spent nickel metal hydride battery waste for water leaching of battery metals and rare earth elements,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Hussain 2020,"Geochemical Evaluation of Enrichment of Rare-Earth and Critical Elements in Coal Wastes from Jurassic and Permo-Carboniferous Coals in Ordos Basin, China",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Ji 2021,Enhanced leaching recovery of rare earth elements from a phosphatic waste clay through calcination pretreatment,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhou 2020,Recovery of scandium from white waste acid generated from the titanium sulphate process using solvent extraction with TRPO,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Mishra 2020,Recovery of Samarium and Cobalt from Sm–Co Magnet Waste Using a Phosphonium Ionic Liquid Cyphos IL 104,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Bishop 2024,Rare Earth Element Speciation in Coal and Coal Combustion Byproducts: A XANES and EXAFS Study,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhang 2025,Evaluation on rare earth elements and microbial communities in abandoned rare earth tailings,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Tanvar 2020,Characterization and evaluation of discarded hard disc drives for recovery of copper and rare earth values,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Xing 2023,Rare earth element recovery and aluminum-rich residue production from high alumina fly ash by alkali pre-desilication enhance the mechanochemical extraction process,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Nogueira 2025,Recovery of Nd3+ and Dy3+ from E-Waste Using Adsorbents from Spent Tyre Rubbers: Batch and Column Dynamic Assays,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Chen 2023,Study on leaching behavior differences of rare earth elements from coal fly ash during microwave-assisted HCl leaching,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liu 2025,Synergistic recovery of mercury and rare earth elements from waste phosphors by microwave alkali fusion–carbothermal reduction followed by acid leaching,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
